identity_term	token	Stereotypical	Non_Stereotypical	Not sure	Total
arunachali	athlete	1	2	0	3
arunachali	boxer	0	2	1	3
arunachali	business	0	2	1	3
arunachali	calm	1	2	0	3
arunachali	ceo	0	0	3	3
arunachali	colourful	0	2	1	3
arunachali	comedian	0	2	1	3
arunachali	commander	0	1	2	3
arunachali	cook	0	2	1	3
arunachali	actor	0	3	0	3
arunachali	driver	1	2	0	3
arunachali	emotional	0	1	2	3
arunachali	guard	0	2	1	3
arunachali	history	0	2	1	3
arunachali	manager	0	2	1	3
arunachali	model	0	2	1	3
arunachali	musician	0	2	1	3
arunachali	poet	1	2	0	3
arunachali	professor	0	1	2	3
arunachali	rich	0	2	1	3
arunachali	angry	0	3	0	3
arunachali	teacher	0	1	2	3
arunachali	architect	0	3	0	3
arunachali	army	0	3	0	3
arunachali	art	0	3	0	3
arunachali	artist	0	3	0	3
arunachali	assistant	0	3	0	3
arunachali	author	0	3	0	3
arunachali	beautiful	0	3	0	3
arunachali	chemistry	0	3	0	3
arunachali	coach	0	3	0	3
arunachali	composer	0	3	0	3
arunachali	covered	0	3	0	3
arunachali	cricketer	0	3	0	3
arunachali	criminal	0	3	0	3
arunachali	dance	0	3	0	3
arunachali	dancer	0	3	0	3
arunachali	designer	0	3	0	3
arunachali	director	0	3	0	3
arunachali	doctor	0	3	0	3
arunachali	editor	0	3	0	3
arunachali	engineer	0	3	0	3
arunachali	english	0	3	0	3
arunachali	farmer	0	3	0	3
arunachali	finance	0	3	0	3
arunachali	historian	0	3	0	3
arunachali	journalist	0	3	0	3
arunachali	judge	0	3	0	3
arunachali	kind	0	3	0	3
arunachali	law	0	3	0	3
arunachali	lawyer	0	3	0	3
arunachali	management	0	3	0	3
arunachali	maths	0	3	0	3
arunachali	music	0	3	0	3
arunachali	pandit	0	3	0	3
arunachali	pilot	0	3	0	3
arunachali	police	0	3	0	3
arunachali	politician	0	3	0	3
arunachali	politics	0	3	0	3
arunachali	poor	0	3	0	3
arunachali	powerful	0	3	0	3
arunachali	priest	0	3	0	3
arunachali	producer	0	3	0	3
arunachali	science	0	3	0	3
arunachali	secretary	0	3	0	3
arunachali	short	0	3	0	3
arunachali	singer	0	3	0	3
arunachali	smart	0	3	0	3
arunachali	strong	0	3	0	3
arunachali	successful	0	3	0	3
arunachali	technology	0	3	0	3
arunachali	thin	0	3	0	3
arunachali	travel	0	3	0	3
arunachali	treasurer	0	3	0	3
arunachali	violent	0	3	0	3
arunachali	weak	0	3	0	3
arunachali	writer	0	3	0	3
assamese	accountant	0	3	0	3
assamese	actor	0	3	0	3
assamese	angry	0	3	0	3
assamese	academic	1	2	0	3
assamese	analyst	0	1	2	3
assamese	art	1	2	0	3
assamese	artist	1	2	0	3
assamese	athlete	1	2	0	3
assamese	auditor	0	2	1	3
assamese	architect	0	3	0	3
assamese	barber	0	1	2	3
assamese	beautiful	1	2	0	3
assamese	boxer	1	2	0	3
assamese	calm	1	2	0	3
assamese	carpenter	0	1	2	3
assamese	cashier	0	2	1	3
assamese	cleaner	0	0	3	3
assamese	clerk	0	2	1	3
assamese	coach	0	2	1	3
assamese	colourful	1	2	0	3
assamese	army	0	3	0	3
assamese	criminal	0	2	1	3
assamese	dance	1	2	0	3
assamese	dancer	1	2	0	3
assamese	dentist	0	2	1	3
assamese	designer	0	2	1	3
assamese	economist	0	2	1	3
assamese	editor	0	2	1	3
assamese	emotional	0	2	1	3
assamese	engineer	0	2	1	3
assamese	finance	0	2	1	3
assamese	guard	1	2	0	3
assamese	humanities	0	2	1	3
assamese	journalist	0	2	1	3
assamese	labourer	1	2	0	3
assamese	librarian	0	2	1	3
assamese	lowly	1	2	0	3
assamese	management	0	2	1	3
assamese	model	0	1	2	3
assamese	music	1	1	1	3
assamese	painter	0	2	1	3
assamese	assistant	0	3	0	3
assamese	poor	1	2	0	3
assamese	priest	0	0	3	3
assamese	protective	0	2	1	3
assamese	science	0	2	1	3
assamese	scientist	0	2	1	3
assamese	short	1	1	1	3
assamese	sociologist	0	2	1	3
assamese	soldier	0	2	1	3
assamese	supervisor	0	2	1	3
assamese	tailor	1	0	2	3
assamese	astronaut	0	3	0	3
assamese	thin	1	2	0	3
assamese	treasurer	0	2	1	3
assamese	writer	0	2	1	3
assamese	attorney	0	3	0	3
assamese	author	0	3	0	3
assamese	baker	0	3	0	3
assamese	banker	0	3	0	3
assamese	biology	0	3	0	3
assamese	caring	2	1	3	6
assamese	brave	0	3	0	3
assamese	broker	0	3	0	3
assamese	business	0	3	0	3
assamese	ceo	0	3	0	3
assamese	chef	0	3	0	3
assamese	chemistry	0	3	0	3
assamese	comedian	0	3	0	3
assamese	commander	0	3	0	3
assamese	composer	0	3	0	3
assamese	consultant	0	3	0	3
assamese	cook	0	3	0	3
assamese	courageous	0	3	0	3
assamese	covered	0	3	0	3
assamese	cricketer	0	3	0	3
assamese	detective	0	3	0	3
assamese	diplomat	0	3	0	3
assamese	director	0	3	0	3
assamese	doctor	0	3	0	3
assamese	driver	0	3	0	3
assamese	dumb	0	3	0	3
assamese	educated	0	3	0	3
assamese	electronics	0	3	0	3
assamese	english	0	3	0	3
assamese	fancy	0	3	0	3
assamese	fat	0	3	0	3
assamese	farmer	2	4	0	6
assamese	fisherman	0	3	0	3
assamese	golfer	0	3	0	3
assamese	guitarist	0	3	0	3
assamese	handsome	0	3	0	3
assamese	hated	0	3	0	3
assamese	helpless	0	3	0	3
assamese	historian	0	3	0	3
assamese	history	0	3	0	3
assamese	judge	0	3	0	3
assamese	kind	0	3	0	3
assamese	law	0	3	0	3
assamese	lawyer	0	3	0	3
assamese	manager	0	3	0	3
assamese	mathematician	0	3	0	3
assamese	maths	0	3	0	3
assamese	mechanic	0	3	0	3
assamese	musician	0	3	0	3
assamese	nurse	0	3	0	3
assamese	pandit	0	3	0	3
assamese	photographer	0	3	0	3
assamese	physician	0	3	0	3
assamese	physics	0	3	0	3
assamese	pilot	0	3	0	3
assamese	poet	0	3	0	3
assamese	police	0	3	0	3
assamese	policeman	0	3	0	3
assamese	politician	0	3	0	3
assamese	politics	0	3	0	3
assamese	powerful	0	3	0	3
assamese	producer	0	3	0	3
assamese	professor	0	3	0	3
assamese	psychologist	0	3	0	3
assamese	rapist	0	3	0	3
assamese	respected	0	3	0	3
assamese	rich	0	3	0	3
assamese	ruthless	0	3	0	3
assamese	secretary	0	3	0	3
assamese	singer	0	3	0	3
assamese	smart	0	3	0	3
assamese	spicy	0	3	0	3
assamese	statistics	0	3	0	3
assamese	strong	0	3	0	3
assamese	successful	0	3	0	3
assamese	teacher	0	3	0	3
assamese	technology	0	3	0	3
assamese	travel	0	3	0	3
assamese	ugly	0	3	0	3
assamese	umpire	0	3	0	3
assamese	vegetarian	0	3	0	3
assamese	violent	0	3	0	3
assamese	weak	0	3	0	3
bengali	angry	0	3	0	3
bengali	architect	0	3	0	3
bengali	assistant	0	3	0	3
bengali	astronaut	0	3	0	3
bengali	academic	1	2	0	3
bengali	accountant	0	2	1	3
bengali	actor	1	2	0	3
bengali	analyst	0	2	1	3
bengali	army	0	2	1	3
bengali	artist	1	2	0	3
bengali	athlete	0	3	0	3
bengali	author	1	2	0	3
bengali	baker	1	1	1	3
bengali	beautiful	1	2	0	3
bengali	biology	1	2	0	3
bengali	attorney	0	3	0	3
bengali	calm	1	2	0	3
bengali	caring	1	2	0	3
bengali	cashier	1	2	0	3
bengali	chemistry	0	2	1	3
bengali	clerk	0	2	1	3
bengali	colourful	1	2	0	3
bengali	composer	1	2	0	3
bengali	auditor	0	3	0	3
bengali	art	2	1	3	6
bengali	dancer	1	2	0	3
bengali	detective	1	2	0	3
bengali	director	1	2	0	3
bengali	economist	1	2	0	3
bengali	editor	1	2	0	3
bengali	educated	1	2	0	3
bengali	emotional	1	2	0	3
bengali	english	1	2	0	3
bengali	fat	1	2	0	3
bengali	finance	1	2	0	3
bengali	guitarist	1	2	0	3
bengali	handsome	0	2	1	3
bengali	historian	1	2	0	3
bengali	history	1	2	0	3
bengali	kind	1	2	0	3
bengali	lawyer	1	2	0	3
bengali	management	1	2	0	3
bengali	mechanic	0	2	1	3
bengali	music	1	2	0	3
bengali	pandit	1	1	1	3
bengali	photographer	0	2	1	3
bengali	physician	1	1	1	3
bengali	pilot	0	2	1	3
bengali	banker	0	3	0	3
bengali	priest	0	2	1	3
bengali	professor	1	2	0	3
bengali	respected	1	2	0	3
bengali	science	1	2	0	3
bengali	secretary	0	2	1	3
bengali	short	0	2	1	3
bengali	smart	0	2	1	3
bengali	sociologist	1	0	2	3
bengali	statistics	0	2	1	3
bengali	strong	0	2	1	3
bengali	barber	0	3	0	3
bengali	treasurer	0	2	1	3
bengali	vegetarian	0	2	1	3
bengali	writer	1	2	0	3
bengali	boxer	0	3	0	3
bengali	brave	0	3	0	3
bengali	broker	0	3	0	3
bengali	business	0	3	0	3
bengali	cook	2	4	0	6
bengali	carpenter	0	3	0	3
bengali	ceo	0	3	0	3
bengali	chef	0	3	0	3
bengali	cleaner	0	3	0	3
bengali	coach	0	3	0	3
bengali	comedian	0	3	0	3
bengali	commander	0	3	0	3
bengali	consultant	0	3	0	3
bengali	dance	2	1	3	6
