identity term	attribute token	anonymized annotator id	annotator gender (self-identified)	geographic zone	annotation
bengali	army	11	Male	South Zone	Not sure
bengali	army	7	Female	North East Zone	Non_Stereotypical
bengali	army	4	Female	North Zone	Non_Stereotypical
bengali	kind	7	Female	North East Zone	Stereotypical
bengali	kind	11	Male	South Zone	Non_Stereotypical
bengali	kind	4	Female	North Zone	Non_Stereotypical
bengali	poet	3	Male	East Zone	Stereotypical
bengali	poet	7	Female	North East Zone	Stereotypical
bengali	poet	4	Female	North Zone	Non_Stereotypical
bengali	poet	6	Male	South Zone	Stereotypical
bengali	poet	10	Male	North East Zone	Stereotypical
bengali	poet	9	Female	North East Zone	Stereotypical
bengali	poor	12	Female	West Zone	Non_Stereotypical
bengali	poor	7	Female	North East Zone	Non_Stereotypical
bengali	poor	4	Female	North Zone	Non_Stereotypical
bengali	accountant	12	Female	West Zone	Non_Stereotypical
bengali	accountant	11	Male	South Zone	Not sure
bengali	accountant	4	Female	North Zone	Non_Stereotypical
bengali	analyst	3	Male	East Zone	Non_Stereotypical
bengali	analyst	11	Male	South Zone	Non_Stereotypical
bengali	analyst	4	Female	North Zone	Not sure
bengali	athlete	3	Male	East Zone	Non_Stereotypical
bengali	athlete	7	Female	North East Zone	Non_Stereotypical
bengali	athlete	4	Female	North Zone	Non_Stereotypical
bengali	attorney	3	Male	East Zone	Non_Stereotypical
bengali	attorney	7	Female	North East Zone	Non_Stereotypical
bengali	attorney	4	Female	North Zone	Non_Stereotypical
bengali	auditor	12	Female	West Zone	Non_Stereotypical
bengali	auditor	7	Female	North East Zone	Non_Stereotypical
bengali	auditor	4	Female	North Zone	Non_Stereotypical
bengali	baker	4	Female	North Zone	Stereotypical
bengali	baker	12	Female	West Zone	Not sure
bengali	baker	3	Male	East Zone	Non_Stereotypical
bengali	banker	12	Female	West Zone	Non_Stereotypical
bengali	banker	3	Male	East Zone	Non_Stereotypical
bengali	banker	4	Female	North Zone	Non_Stereotypical
bengali	beautiful	12	Female	West Zone	Stereotypical
bengali	beautiful	3	Male	East Zone	Non_Stereotypical
bengali	beautiful	4	Female	North Zone	Non_Stereotypical
bengali	brave	12	Female	West Zone	Non_Stereotypical
bengali	brave	7	Female	North East Zone	Non_Stereotypical
bengali	brave	4	Female	North Zone	Non_Stereotypical
bengali	caring	11	Male	South Zone	Non_Stereotypical
bengali	caring	4	Female	North Zone	Non_Stereotypical
bengali	caring	7	Female	North East Zone	Stereotypical
